city,state_id,state_name,Low_Confidence_Limit,Data_Value,health_bad,High_Confidence_Limit,PopulationCount,density,state_name.1,ALand,AWater,Median,Stdev,Name,Type,Location,Specialty,Contact
Baton Rouge,LA,Louisiana,15.57121212,17.33787879,1,19.13939394,10430.42424,983,Louisiana,13313191.742857143,412284.3714285714,69642.31428571428,42751.25714285715,New Orleans Substance Abuse Help,Helpline,Louisiana,Substance Abuse,1-800-456-7890
Beaverton,OR,Oregon,11.24814815,12.49259259,0,13.86666667,9975.592593,1952,Oregon,2971585.6428571427,0.0,130753.64285714286,50075.21428571428,Oregon Crisis Support,Helpline,Oregon,Crisis Intervention,1-800-888-9999
Beaverton,OR,Oregon,11.24814815,12.49259259,0,13.86666667,9975.592593,1952,Oregon,2971585.6428571427,0.0,130753.64285714286,50075.21428571428,Oregon Support Network,Support Group,Oregon,Mental Wellness,1-555-7777
Beaverton,OR,Oregon,11.24814815,12.49259259,0,13.86666667,9975.592593,1952,Oregon,2971585.6428571427,0.0,130753.64285714286,50075.21428571428,Portland Addiction Services,In-Person Therapy,Oregon,Substance Abuse,1-555-1212
Billings,MT,Montana,11.22758621,12.47241379,0,13.76206897,10776.10345,948,Montana,40709962.5,466583.8333333333,89123.41666666667,38548.41666666666,Montana Mental Health Outreach,Helpline,Montana,General Therapy,1-800-987-6543
Birmingham,AL,Alabama,14.92826087,16.43804348,1,18.04891304,6918.673913,553,Alabama,6907365.444444444,106941.80555555556,46903.27777777778,36507.833333333336,Alabama Counseling Clinic,In-Person Therapy,Alabama,Family Counseling,1-555-4321
Boca Raton,FL,Florida,9.810344828,10.8862069,0,12.0862069,8730.206897,1320,Florida,6549162.227272728,299759.2272727273,96880.68181818182,63247.13636363636,Florida Anxiety Center,In-Person Therapy,Florida,Anxiety & Panic,1-555-6543
Boca Raton,FL,Florida,9.810344828,10.8862069,0,12.0862069,8730.206897,1320,Florida,6549162.227272728,299759.2272727273,96880.68181818182,63247.13636363636,Florida Trauma Recovery Group,Support Group,Florida,Trauma Recovery,1-555-5432
Boise,ID,Idaho,10.54042553,11.81276596,0,13.16808511,13127.93617,1056,Idaho,3995980.944444445,38980.61111111111,90399.27777777778,47396.833333333336,Idaho Mental Health Hotline,Helpline,Idaho,Depression Support,1-800-222-4567
Boston,MA,Massachusetts,12.912,14.38628571,1,16.052,10587.09714,5532,Massachusetts,430977.0,16523.70588235294,59771.882352941175,67582.4705882353,Boston PTSD Center,In-Person Therapy,Massachusetts,PTSD Treatment,1-555-9988
Boston,MA,Massachusetts,12.912,14.38628571,1,16.052,10587.09714,5532,Massachusetts,430977.0,16523.70588235294,59771.882352941175,67582.4705882353,Boston Anxiety Clinic,In-Person Therapy,Massachusetts,Anxiety Counseling,1-555-1111
Bridgeport,CT,Connecticut,13.375,14.435,1,15.515,10817.175,3470,Connecticut,1090716.3076923075,20417.0,65465.0,44574.230769230766,Connecticut Stress Helpline,Helpline,Connecticut,Stress Management,1-800-444-5555
Broken Arrow,OK,Oklahoma,12.47692308,13.80512821,0,15.15384615,7602.205128,688,Oklahoma,14413396.363636363,531133.6363636364,59414.63636363636,49608.0,Oklahoma Wellness Clinic,In-Person Therapy,Oklahoma,Stress Management,1-555-5430
Brooklyn Park,MN,Minnesota,10.11333333,10.88666667,0,11.68666667,15156.2,1190,Minnesota,14329629.285714284,267342.8571428572,129469.71428571428,50128.142857142855,Minnesota Wellbeing Group,Support Group,Minnesota,Mindfulness & Relaxation,1-555-3210
Buffalo,NY,New York,15.40123457,16.81481481,1,18.26666667,9678.148148,2441,New York,1225500.3488372094,6983.6511627906975,67380.67441860466,36248.023255813954,New York Counseling Center,In-Person Therapy,New York,General Counseling,1-555-0123
Buffalo,NY,New York,15.40123457,16.81481481,1,18.26666667,9678.148148,2441,New York,1225500.3488372094,6983.6511627906975,67380.67441860466,36248.023255813954,NY Eating Disorders Center,In-Person Therapy,New York,Eating Disorders,1-555-5678
Burlington,VT,Vermont,12.4,14.53846154,1,16.77692308,9788.538462,1604,Vermont,2385362.5,104943.5,39998.25,52175.75,Vermont Wellness Services,Support Group,Vermont,Mental Wellness,1-555-3456
Camden,NJ,New Jersey,18.57619048,19.97619048,1,21.4047619,11049.14286,3184,New Jersey,1128119.4444444445,130593.22222222222,55402.88888888889,37239.333333333336,New Jersey Stress Helpline,Helpline,New Jersey,Stress Management,1-800-432-9876
Carmel,IN,Indiana,8.941176471,10.03529412,0,11.31176471,13974.88235,795,Indiana,7364557.2,154436.6,178121.2,63247.8,Indiana Family Therapy,In-Person Therapy,Indiana,Family Counseling,1-555-4322
Cedar Rapids,IA,Iowa,10.62368421,11.84473684,0,13.08947368,9972.894737,720,Iowa,34603140.94444445,713007.8333333334,92919.72222222222,51530.944444444445,Iowa Mental Health Group,Support Group,Iowa,Mental Wellness,1-555-1243
Charleston,WV,West Virginia,12.90285714,14.44571429,1,16.12285714,7348.571429,570,West Virginia,16594062.727272728,103776.63636363635,74973.81818181818,55698.90909090909,West Virginia Teen Line,Helpline,West Virginia,Teen Counseling,1-800-123-9999
Chattanooga,TN,Tennessee,14.36346154,15.76346154,1,17.20769231,9672.0,493,Tennessee,12441185.476190476,472727.38095238095,77834.90476190476,42546.09523809524,Tennessee Health Center,In-Person Therapy,Tennessee,General Counseling,1-555-6540
Cheyenne,WY,Wyoming,10.61111111,11.7,0,12.79444444,9911.0,771,Wyoming,8597619.5,7657.5,120491.375,41848.125,Wyoming Family Helpline,Helpline,Wyoming,Family Counseling,1-800-543-2222
Columbia,SC,South Carolina,13.47888889,15.35111111,1,17.27444444,7924.911111,373,South Carolina,5625222.151515151,107417.87878787878,98181.0,47084.84848484849,South Carolina Health Outreach,In-Person Therapy,South Carolina,Addiction Recovery,1-555-6549
Cranston,RI,Rhode Island,12.32105263,13.55263158,0,14.86315789,12692.68421,1109,Rhode Island,2282657.0,289817.8888888889,107184.11111111112,44987.22222222222,Rhode Island Youth Support,Support Group,Rhode Island,Youth Counseling,1-555-8764
Cranston,RI,Rhode Island,12.32105263,13.55263158,0,14.86315789,12692.68421,1109,Rhode Island,2282657.0,289817.8888888889,107184.11111111112,44987.22222222222,Rhode Island Trauma Relief,Support Group,Rhode Island,Trauma Recovery,1-555-8765
Fargo,ND,North Dakota,10.01851852,11.47777778,0,12.99259259,11727.66667,967,North Dakota,2829275.875,0.0,109873.5,40517.0,North Dakota Crisis Line,Helpline,North Dakota,Crisis Intervention,1-800-987-3211
Fayetteville,AR,Arkansas,13.67681159,15.04492754,1,16.37971014,11918.37681,625,Arkansas,9034617.0,118158.6,34660.2,40774.4,Arkansas Hope Helpline,Helpline,Arkansas,Crisis Support,1-800-222-1212
Gulfport,MS,Mississippi,14.58333333,15.875,1,17.23333333,8474.125,497,Mississippi,17235054.1,1127453.3,33135.0,33837.3,Mississippi Crisis Hotline,Helpline,Mississippi,Crisis Intervention,1-800-321-6789
Henderson,NV,Nevada,11.26911765,12.36617647,0,13.5,11369.72059,1165,Nevada,8699625.84,0.0,116706.04,57697.12,Las Vegas Wellness Center,In-Person Therapy,Nevada,Stress Management,1-555-4567
Henderson,NV,Nevada,11.26911765,12.36617647,0,13.5,11369.72059,1165,Nevada,8699625.84,0.0,116706.04,57697.12,Las Vegas Grief Support,In-Person Therapy,Nevada,Grief Counseling,1-555-5432
Honolulu,HI,Hawaii,9.553813559,10.31779661,0,11.08601695,12116.84322,2200,Hawaii,2954641.1707317075,924104.4390243902,109976.51219512196,57229.85365853659,Hawaii Community Therapy,In-Person Therapy,Hawaii,Family Counseling,1-555-0987
Independence,MO,Missouri,13.79333333,15.01,1,16.22666667,11682.36667,577,Missouri,8919959.3,178558.1,75763.7,40546.2,Missouri Suicide Prevention,Helpline,Missouri,Suicide Prevention,1-800-555-1234
Layton,UT,Utah,10.96,12.2,0,13.46,10096.1,1339,Utah,3952907.5,5922.0,157249.0,31025.5,Salt Lake City Mental Health Center,In-Person Therapy,Utah,General Therapy,1-555-3333
Lexington,KY,Kentucky,13.19404762,14.76666667,1,16.4,10564.39286,439,Kentucky,10348058.333333334,426388.56666666665,61855.566666666666,46507.93333333333,Kentucky Recovery Assistance,In-Person Therapy,Kentucky,Substance Abuse,1-555-7891
Lincoln,NE,Nebraska,9.973972603,11.24520548,0,12.60273973,10618.28767,1160,Nebraska,5668765.04,107355.72,92956.28,42520.04,Nebraska Mental Health Services,In-Person Therapy,Nebraska,Anxiety & Depression,1-555-9870
Rapid City,SD,South Dakota,10.27142857,11.31428571,0,12.4047619,9707.857143,546,South Dakota,66896198.375,214018.875,79828.375,44047.5,South Dakota Support Network,Support Group,South Dakota,Mental Wellness,1-555-3322
Wilmington,DE,Delaware,14.15614035,15.60175439,1,17.08596491,9331.947368,2484,Delaware,2838983.4,74827.96,96333.68,50686.12,Delaware Recovery Support,Support Group,Delaware,Addiction Recovery,1-555-2310
